file,prompt
image1.jpg,"oil crayon sketch of art gallery with commemorative display for supernatural awe event glowing visitors .wide shot perspective of someone with white glow sitting at the beach.beautiful gradient explosion of paint sunset vaporwave holosexual grunge effect silver grey visual tint like a movie, yoshitomo nara, watercolor, kazuhiro tsuji, pen and ink detailing."
image2.jpg,Oil painting of french bull dog with beanie. Colourful
image3.jpg,Oil painting of curious french bull dog with beanie. Colourful
image4.jpg,Greek statue wearing futuristic glasses realistic
image5.jpg,Greek statue wearing futuristic glasses realistic simple colour style
image6.jpg,Holographic astronaut helmet
image7.jpg,Holographic astronaut helmet. Dog
image8.jpg,Tired french bulldog wearing beanie and glasses. Oil painting. Vibrant and colourful
image9.jpg,Oil painting of french bulldog with baguette and beret. Colourful
image10.jpg,"A dreamlike landscape filled with floating islands, crystal mountains, and rainbow waterfalls, influenced by the art of Maxfield Parrish and the writing of Jules Verne."
image11.jpg,Anime sketch of dog with sword
image12.jpg,Chill french bulldog wearing beanie. Oil painting. Colourful
image13.jpg,Gradient supernova explosion
image14.jpg,Blurred supernova explosion of colour
image15.jpg,Pixel art of french bull dog with beanie. Colourful
image16.jpg,Pixel art curious french bulldog with beanie on.
image17.jpg,Pixel art french bulldog with beanie on. Colourful background and clear
image18.jpg,Pixel golden retriever with bonnet. Colourful and clear
image19.jpg,Pixel art french bulldog with beanie on. Colourful background. High resolution and clear
image20.jpg,Pixel art french bulldog with an eye patch. Colourful. High quality and high resolution
image21.jpg,Pixel art lilac french bulldog with beanie on. Colourful
image22.jpg,Pixel art lilac toned french bulldog with beanie on. Colourful
image23.jpg,Pixel art lilac toned french bulldog with beanie on. Colourful. Realistic
image24.jpg,Pixel art grey toned french bulldog with colourful beanie on. Colourful. Cartoon
image25.jpg,Pixel art lilac toned french bulldog with colourful beanie on. Colourful. High resolution. Clear
image26.jpg,Pixel art of mixed lilac and grey french bulldog with colourful beanie on. Colourful background. High resolution and clear
image27.jpg,Pixel art lilac toned french bulldog with beanie on. Colourful. High resolution 
